"IPAddress","Port","User","BindType"
"172.17.99.180","57669","IHLE\xprweb","Simple"
"172.17.99.180","57668","IHLE\xprweb","Simple"
"172.17.99.180","57647","IHLE\xprweb","Simple"
"172.17.99.180","57646","IHLE\xprweb","Simple"
"172.17.99.180","57606","IHLE\xprweb","Simple"
"172.17.99.180","57605","IHLE\xprweb","Simple"
"172.17.99.180","57517","IHLE\xprweb","Simple"
"172.17.99.180","57516","IHLE\xprweb","Simple"
"172.17.99.180","57487","IHLE\xprweb","Simple"
"172.17.99.180","57486","IHLE\xprweb","Simple"
"172.17.1.5","57340","IHLE\barracuda","Simple"
"172.17.99.180","57156","IHLE\xprweb","Simple"
"172.17.99.180","57155","IHLE\xprweb","Simple"
"172.17.99.180","56978","IHLE\xprweb","Simple"
"172.17.99.180","56977","IHLE\xprweb","Simple"
"172.17.99.180","56908","IHLE\xprweb","Simple"
"172.17.99.180","56907","IHLE\xprweb","Simple"
"172.17.99.180","56796","IHLE\xprweb","Simple"
"172.17.99.180","56795","IHLE\xprweb","Simple"
"172.17.99.180","56784","IHLE\xprweb","Simple"
"172.17.99.180","56783","IHLE\xprweb","Simple"
"172.17.99.180","56779","IHLE\xprweb","Simple"
"172.17.99.180","56778","IHLE\xprweb","Simple"
"172.17.99.180","56693","IHLE\xprweb","Simple"
"172.17.99.180","56692","IHLE\xprweb","Simple"
"172.17.99.180","56185","IHLE\xprweb","Simple"
"172.17.99.180","56184","IHLE\xprweb","Simple"
"172.17.99.180","56143","IHLE\xprweb","Simple"
"172.17.99.180","56142","IHLE\xprweb","Simple"
"172.17.99.180","56138","IHLE\xprweb","Simple"
"172.17.99.180","56137","IHLE\xprweb","Simple"
"172.17.99.180","55958","IHLE\xprweb","Simple"
"172.17.99.180","55957","IHLE\xprweb","Simple"
"172.17.1.5","37507","IHLE\barracuda","Simple"
"172.17.99.180","55706","IHLE\xprweb","Simple"
"172.17.99.180","55705","IHLE\xprweb","Simple"
"172.17.99.180","55449","IHLE\xprweb","Simple"
"172.17.99.180","55448","IHLE\xprweb","Simple"
"172.17.99.180","55447","IHLE\xprweb","Simple"
"172.17.99.180","55446","IHLE\xprweb","Simple"
"172.17.99.180","55240","IHLE\xprweb","Simple"
"172.17.99.180","55239","IHLE\xprweb","Simple"
"172.17.99.180","55238","IHLE\xprweb","Simple"
"172.17.99.180","55237","IHLE\xprweb","Simple"
"172.17.99.180","55189","IHLE\xprweb","Simple"
"172.17.99.180","55188","IHLE\xprweb","Simple"
"172.17.99.180","55150","IHLE\xprweb","Simple"
"172.17.99.180","55149","IHLE\xprweb","Simple"
"172.17.99.180","55075","IHLE\xprweb","Simple"
"172.17.99.180","55074","IHLE\xprweb","Simple"
"172.17.99.180","54981","IHLE\xprweb","Simple"
"172.17.99.180","54980","IHLE\xprweb","Simple"
"172.17.99.180","54977","IHLE\xprweb","Simple"
"172.17.99.180","54975","IHLE\xprweb","Simple"
"172.17.1.5","37511","IHLE\barracuda","Simple"
"172.17.99.180","54457","IHLE\xprweb","Simple"
"172.17.99.180","54456","IHLE\xprweb","Simple"
"172.17.99.180","54452","IHLE\xprweb","Simple"
"172.17.99.180","54451","IHLE\xprweb","Simple"
"172.17.99.180","54420","IHLE\xprweb","Simple"
"172.17.99.180","54419","IHLE\xprweb","Simple"
"172.17.99.180","54344","IHLE\xprweb","Simple"
"172.17.99.180","54343","IHLE\xprweb","Simple"
"172.17.99.180","54332","IHLE\xprweb","Simple"
"172.17.99.180","54331","IHLE\xprweb","Simple"
"172.17.99.180","54323","IHLE\xprweb","Simple"
"172.17.99.180","54322","IHLE\xprweb","Simple"
"172.17.99.180","54296","IHLE\xprweb","Simple"
"172.17.99.180","54295","IHLE\xprweb","Simple"
"172.17.1.5","41186","IHLE\barracuda","Simple"
"172.17.99.180","54146","IHLE\xprweb","Simple"
"172.17.99.180","54145","IHLE\xprweb","Simple"
"172.17.99.180","54046","IHLE\xprweb","Simple"
"172.17.99.180","54045","IHLE\xprweb","Simple"
"172.17.99.180","54029","IHLE\xprweb","Simple"
"172.17.99.180","54028","IHLE\xprweb","Simple"
"172.17.99.180","53971","IHLE\xprweb","Simple"
"172.17.99.180","53970","IHLE\xprweb","Simple"
"172.17.99.180","53962","IHLE\xprweb","Simple"
"172.17.99.180","53961","IHLE\xprweb","Simple"
"172.17.99.180","53924","IHLE\xprweb","Simple"
"172.17.99.180","53923","IHLE\xprweb","Simple"
"172.17.99.180","53900","IHLE\xprweb","Simple"
"172.17.99.180","53899","IHLE\xprweb","Simple"
"172.17.99.180","53699","IHLE\xprweb","Simple"
"172.17.99.180","53698","IHLE\xprweb","Simple"
"172.17.99.180","53697","IHLE\xprweb","Simple"
"172.17.99.180","53696","IHLE\xprweb","Simple"
"172.17.99.180","53601","IHLE\xprweb","Simple"
"172.17.99.180","53600","IHLE\xprweb","Simple"
"172.17.99.180","53599","IHLE\xprweb","Simple"
"172.17.99.180","53598","IHLE\xprweb","Simple"
"172.17.1.5","52306","IHLE\barracuda","Simple"
"172.17.1.5","52305","IHLE\barracuda","Simple"
"172.17.99.180","53552","IHLE\xprweb","Simple"
"172.17.99.180","53551","IHLE\xprweb","Simple"
"172.17.99.180","53550","IHLE\xprweb","Simple"
"172.17.99.180","53549","IHLE\xprweb","Simple"
