"IPAddress","Port","User","BindType"
"172.17.99.180","58247","IHLE\xprweb","Simple"
"172.17.99.180","58246","IHLE\xprweb","Simple"
"172.17.99.180","58245","IHLE\xprweb","Simple"
"172.17.99.180","58244","IHLE\xprweb","Simple"
"172.17.99.180","58243","IHLE\xprweb","Simple"
"172.17.99.180","58183","IHLE\xprweb","Simple"
"172.17.99.180","58182","IHLE\xprweb","Simple"
"172.17.99.180","58181","IHLE\xprweb","Simple"
"172.17.99.180","58180","IHLE\xprweb","Simple"
"172.17.99.180","58179","IHLE\xprweb","Simple"
"172.17.99.180","58104","IHLE\xprweb","Simple"
"172.17.99.180","58103","IHLE\xprweb","Simple"
"172.17.99.180","58102","IHLE\xprweb","Simple"
"172.17.99.180","58101","IHLE\xprweb","Simple"
"172.17.99.180","58100","IHLE\xprweb","Simple"
"172.17.99.180","57999","IHLE\xprweb","Simple"
"172.17.99.180","57998","IHLE\xprweb","Simple"
"172.17.99.180","57997","IHLE\xprweb","Simple"
"172.17.99.180","57996","IHLE\xprweb","Simple"
"172.17.99.180","57995","IHLE\xprweb","Simple"
"172.17.99.180","57940","IHLE\xprweb","Simple"
"172.17.99.180","57939","IHLE\xprweb","Simple"
"172.17.99.180","57937","IHLE\xprweb","Simple"
"172.17.99.180","57936","IHLE\xprweb","Simple"
"172.17.99.180","57935","IHLE\xprweb","Simple"
"172.17.99.180","57909","IHLE\xprweb","Simple"
"172.17.99.180","57908","IHLE\xprweb","Simple"
"172.17.99.180","57907","IHLE\xprweb","Simple"
"172.17.99.180","57906","IHLE\xprweb","Simple"
"172.17.99.180","57905","IHLE\xprweb","Simple"
"172.17.99.180","57847","IHLE\xprweb","Simple"
"172.17.99.180","57846","IHLE\xprweb","Simple"
"172.17.99.180","57845","IHLE\xprweb","Simple"
"172.17.99.180","57844","IHLE\xprweb","Simple"
"172.17.99.180","57840","IHLE\xprweb","Simple"
"172.17.99.180","57671","IHLE\xprweb","Simple"
"172.17.99.180","57670","IHLE\xprweb","Simple"
"172.17.99.180","57667","IHLE\xprweb","Simple"
"172.17.99.180","57649","IHLE\xprweb","Simple"
"172.17.99.180","57648","IHLE\xprweb","Simple"
"172.17.99.180","57645","IHLE\xprweb","Simple"
"172.17.99.180","57608","IHLE\xprweb","Simple"
"172.17.99.180","57607","IHLE\xprweb","Simple"
"172.17.99.180","57604","IHLE\xprweb","Simple"
"172.17.99.180","57519","IHLE\xprweb","Simple"
"172.17.99.180","57518","IHLE\xprweb","Simple"
"172.17.99.180","57515","IHLE\xprweb","Simple"
"172.17.99.180","57489","IHLE\xprweb","Simple"
"172.17.99.180","57488","IHLE\xprweb","Simple"
"172.17.99.180","57485","IHLE\xprweb","Simple"
"172.17.99.180","57158","IHLE\xprweb","Simple"
"172.17.99.180","57157","IHLE\xprweb","Simple"
"172.17.99.180","57151","IHLE\xprweb","Simple"
"172.17.99.180","56980","IHLE\xprweb","Simple"
"172.17.99.180","56979","IHLE\xprweb","Simple"
"172.17.99.180","56976","IHLE\xprweb","Simple"
"172.17.99.180","56910","IHLE\xprweb","Simple"
"172.17.99.180","56909","IHLE\xprweb","Simple"
"172.17.99.180","56906","IHLE\xprweb","Simple"
"172.17.99.180","56798","IHLE\xprweb","Simple"
"172.17.99.180","56797","IHLE\xprweb","Simple"
"172.17.99.180","56794","IHLE\xprweb","Simple"
"172.17.99.180","56786","IHLE\xprweb","Simple"
"172.17.99.180","56785","IHLE\xprweb","Simple"
"172.17.99.180","56782","IHLE\xprweb","Simple"
"172.17.99.180","56781","IHLE\xprweb","Simple"
"172.17.99.180","56780","IHLE\xprweb","Simple"
"172.17.99.180","56777","IHLE\xprweb","Simple"
"172.17.99.180","56695","IHLE\xprweb","Simple"
"172.17.99.180","56694","IHLE\xprweb","Simple"
"172.17.99.180","56691","IHLE\xprweb","Simple"
"172.17.99.180","56231","IHLE\xprweb","Simple"
"172.17.99.180","56230","IHLE\xprweb","Simple"
"172.17.99.180","56229","IHLE\xprweb","Simple"
"172.17.99.180","56228","IHLE\xprweb","Simple"
"172.17.99.180","56227","IHLE\xprweb","Simple"
"172.17.99.180","56218","IHLE\xprweb","Simple"
"172.17.99.180","56217","IHLE\xprweb","Simple"
"172.17.99.180","56216","IHLE\xprweb","Simple"
"172.17.99.180","56215","IHLE\xprweb","Simple"
"172.17.99.180","56214","IHLE\xprweb","Simple"
"172.17.99.180","56187","IHLE\xprweb","Simple"
"172.17.99.180","56186","IHLE\xprweb","Simple"
"172.17.99.180","56183","IHLE\xprweb","Simple"
"172.17.99.180","56145","IHLE\xprweb","Simple"
"172.17.99.180","56144","IHLE\xprweb","Simple"
"172.17.99.180","56141","IHLE\xprweb","Simple"
"172.17.99.180","56140","IHLE\xprweb","Simple"
"172.17.99.180","56139","IHLE\xprweb","Simple"
"172.17.99.180","56136","IHLE\xprweb","Simple"
