"IPAddress","Port","User","BindType"
"172.17.91.1","55767","IHLE\compdata","Simple"
"172.17.91.1","55764","IHLE\compdata","Simple"
"172.17.91.1","55763","IHLE\compdata","Simple"
"172.17.91.1","55761","IHLE\compdata","Simple"
"172.17.91.1","55760","IHLE\compdata","Simple"
"172.17.99.180","49829","IHLE\xprweb","Simple"
"172.17.99.180","49828","IHLE\xprweb","Simple"
"172.17.99.180","49827","IHLE\xprweb","Simple"
"172.17.99.180","49826","IHLE\xprweb","Simple"
"172.17.99.180","49825","IHLE\xprweb","Simple"
"172.17.99.180","49819","IHLE\xprweb","Simple"
"172.17.99.180","49818","IHLE\xprweb","Simple"
"172.17.99.180","49817","IHLE\xprweb","Simple"
"172.17.99.180","49816","IHLE\xprweb","Simple"
"172.17.99.180","49815","IHLE\xprweb","Simple"
"172.17.99.180","49675","IHLE\xprweb","Simple"
"172.17.99.180","49674","IHLE\xprweb","Simple"
"172.17.99.180","49671","IHLE\xprweb","Simple"
"172.17.99.180","49646","IHLE\xprweb","Simple"
"172.17.99.180","49645","IHLE\xprweb","Simple"
"172.17.99.180","49642","IHLE\xprweb","Simple"
"172.17.99.180","49635","IHLE\xprweb","Simple"
"172.17.99.180","49634","IHLE\xprweb","Simple"
"172.17.99.180","49631","IHLE\xprweb","Simple"
"172.17.99.180","49623","IHLE\xprweb","Simple"
"172.17.99.180","49622","IHLE\xprweb","Simple"
"172.17.99.180","49618","IHLE\xprweb","Simple"
"172.17.99.180","49613","IHLE\xprweb","Simple"
"172.17.99.180","49612","IHLE\xprweb","Simple"
"172.17.99.180","49605","IHLE\xprweb","Simple"
"172.17.99.180","49550","IHLE\xprweb","Simple"
"172.17.99.180","49549","IHLE\xprweb","Simple"
"172.17.99.180","49546","IHLE\xprweb","Simple"
"172.17.99.180","49434","IHLE\xprweb","Simple"
"172.17.99.180","49433","IHLE\xprweb","Simple"
"172.17.99.180","49429","IHLE\xprweb","Simple"
"172.17.99.180","49424","IHLE\xprweb","Simple"
"172.17.99.180","49423","IHLE\xprweb","Simple"
"172.17.99.180","49420","IHLE\xprweb","Simple"
"172.17.99.180","49412","IHLE\xprweb","Simple"
"172.17.99.180","49411","IHLE\xprweb","Simple"
"172.17.99.180","49408","IHLE\xprweb","Simple"
"172.17.99.180","49384","IHLE\xprweb","Simple"
"172.17.99.180","49382","IHLE\xprweb","Simple"
"172.17.99.180","49379","IHLE\xprweb","Simple"
"172.17.99.180","49374","IHLE\xprweb","Simple"
"172.17.99.180","49373","IHLE\xprweb","Simple"
"172.17.99.180","49370","IHLE\xprweb","Simple"
"172.17.99.180","49359","IHLE\xprweb","Simple"
"172.17.99.180","49358","IHLE\xprweb","Simple"
"172.17.99.180","49354","IHLE\xprweb","Simple"
"172.17.99.180","49270","IHLE\xprweb","Simple"
"172.17.99.180","49268","IHLE\xprweb","Simple"
"172.17.99.180","49265","IHLE\xprweb","Simple"
"172.17.99.180","49263","IHLE\xprweb","Simple"
"172.17.99.180","49262","IHLE\xprweb","Simple"
"172.17.99.180","49258","IHLE\xprweb","Simple"
"172.17.99.180","49254","IHLE\xprweb","Simple"
"172.17.99.180","49253","IHLE\xprweb","Simple"
"172.17.99.180","49250","IHLE\xprweb","Simple"
"172.17.99.180","49210","IHLE\xprweb","Simple"
"172.17.99.180","49207","IHLE\xprweb","Simple"
"172.17.99.180","49204","IHLE\xprweb","Simple"
"172.17.99.180","49202","IHLE\xprweb","Simple"
"172.17.99.180","49200","IHLE\xprweb","Simple"
"172.17.99.180","49197","IHLE\xprweb","Simple"
"172.17.99.180","49175","IHLE\xprweb","Simple"
"172.17.99.180","49174","IHLE\xprweb","Simple"
"172.17.99.180","49171","IHLE\xprweb","Simple"
"172.17.99.180","49166","IHLE\xprweb","Simple"
"172.17.99.180","49165","IHLE\xprweb","Simple"
"172.17.99.180","49162","IHLE\xprweb","Simple"
"172.17.99.180","49160","IHLE\xprweb","Simple"
"172.17.99.180","49159","IHLE\xprweb","Simple"
"172.17.99.180","49156","IHLE\xprweb","Simple"
"172.17.99.180","65477","IHLE\xprweb","Simple"
"172.17.99.180","65476","IHLE\xprweb","Simple"
"172.17.99.180","65473","IHLE\xprweb","Simple"
"172.17.99.180","65399","IHLE\xprweb","Simple"
"172.17.99.180","65331","IHLE\xprweb","Simple"
"172.17.99.180","65198","IHLE\xprweb","Simple"
"172.17.99.180","65100","IHLE\xprweb","Simple"
"172.17.99.180","63221","IHLE\xprweb","Simple"
"172.17.99.180","62424","IHLE\xprweb","Simple"
"172.17.99.180","62395","IHLE\xprweb","Simple"
"172.17.99.180","62362","IHLE\xprweb","Simple"
"172.17.99.180","62333","IHLE\xprweb","Simple"
"172.17.99.180","62213","IHLE\xprweb","Simple"
"172.17.99.180","62212","IHLE\xprweb","Simple"
"172.17.99.180","62211","IHLE\xprweb","Simple"
"172.17.99.180","62188","IHLE\xprweb","Simple"
"172.17.99.180","62157","IHLE\xprweb","Simple"
"172.17.99.180","62149","IHLE\xprweb","Simple"
"172.17.99.180","62111","IHLE\xprweb","Simple"
"172.17.99.180","62058","IHLE\xprweb","Simple"
"172.17.99.180","62024","IHLE\xprweb","Simple"
"172.17.99.180","62023","IHLE\xprweb","Simple"
"172.17.99.180","62022","IHLE\xprweb","Simple"
"172.17.99.180","62021","IHLE\xprweb","Simple"
"172.17.99.180","62020","IHLE\xprweb","Simple"
"172.17.99.180","61993","IHLE\xprweb","Simple"
"172.17.99.180","61992","IHLE\xprweb","Simple"
"172.17.99.180","61991","IHLE\xprweb","Simple"
"172.17.99.180","61990","IHLE\xprweb","Simple"
"172.17.99.180","61989","IHLE\xprweb","Simple"
"172.17.99.180","61962","IHLE\xprweb","Simple"
"172.17.99.180","61961","IHLE\xprweb","Simple"
"172.17.99.180","61960","IHLE\xprweb","Simple"
"172.17.99.180","61959","IHLE\xprweb","Simple"
"172.17.99.180","61958","IHLE\xprweb","Simple"
"172.17.99.180","61913","IHLE\xprweb","Simple"
"172.17.99.180","61912","IHLE\xprweb","Simple"
"172.17.99.180","61911","IHLE\xprweb","Simple"
"172.17.99.180","61910","IHLE\xprweb","Simple"
"172.17.99.180","61908","IHLE\xprweb","Simple"
"172.17.99.180","61860","IHLE\xprweb","Simple"
"172.17.99.180","61859","IHLE\xprweb","Simple"
"172.17.99.180","61858","IHLE\xprweb","Simple"
"172.17.99.180","61857","IHLE\xprweb","Simple"
"172.17.99.180","61856","IHLE\xprweb","Simple"
"172.17.99.180","61851","IHLE\xprweb","Simple"
"172.17.99.180","61850","IHLE\xprweb","Simple"
"172.17.99.180","61849","IHLE\xprweb","Simple"
"172.17.99.180","61848","IHLE\xprweb","Simple"
"172.17.99.180","61847","IHLE\xprweb","Simple"
"172.17.99.180","61829","IHLE\xprweb","Simple"
"172.17.99.180","61828","IHLE\xprweb","Simple"
"172.17.99.180","61827","IHLE\xprweb","Simple"
"172.17.99.180","61826","IHLE\xprweb","Simple"
"172.17.99.180","61825","IHLE\xprweb","Simple"
"172.17.99.180","61781","IHLE\xprweb","Simple"
"172.17.99.180","61780","IHLE\xprweb","Simple"
"172.17.99.180","61779","IHLE\xprweb","Simple"
"172.17.99.180","61771","IHLE\xprweb","Simple"
"172.17.99.180","61770","IHLE\xprweb","Simple"
"172.17.99.180","61769","IHLE\xprweb","Simple"
"172.17.99.180","61694","IHLE\xprweb","Simple"
"172.17.99.180","61693","IHLE\xprweb","Simple"
"172.17.99.180","61692","IHLE\xprweb","Simple"
"172.17.99.180","61665","IHLE\xprweb","Simple"
"172.17.99.180","61664","IHLE\xprweb","Simple"
"172.17.99.180","61663","IHLE\xprweb","Simple"
"172.17.99.180","61656","IHLE\xprweb","Simple"
"172.17.99.180","61655","IHLE\xprweb","Simple"
"172.17.99.180","61654","IHLE\xprweb","Simple"
"172.17.99.180","61637","IHLE\xprweb","Simple"
"172.17.99.180","61636","IHLE\xprweb","Simple"
"172.17.99.180","61635","IHLE\xprweb","Simple"
"172.17.99.180","61625","IHLE\xprweb","Simple"
"172.17.99.180","61624","IHLE\xprweb","Simple"
"172.17.99.180","61623","IHLE\xprweb","Simple"
"172.17.99.180","61616","IHLE\xprweb","Simple"
"172.17.99.180","61615","IHLE\xprweb","Simple"
"172.17.99.180","61614","IHLE\xprweb","Simple"
"172.17.99.180","61606","IHLE\xprweb","Simple"
"172.17.99.180","61605","IHLE\xprweb","Simple"
"172.17.99.180","61604","IHLE\xprweb","Simple"
"172.17.99.180","61597","IHLE\xprweb","Simple"
"172.17.99.180","61596","IHLE\xprweb","Simple"
"172.17.99.180","61595","IHLE\xprweb","Simple"
"172.17.99.180","61579","IHLE\xprweb","Simple"
"172.17.99.180","61578","IHLE\xprweb","Simple"
"172.17.99.180","61577","IHLE\xprweb","Simple"
"172.17.99.180","61569","IHLE\xprweb","Simple"
"172.17.99.180","61568","IHLE\xprweb","Simple"
"172.17.99.180","61567","IHLE\xprweb","Simple"
"172.17.99.180","61559","IHLE\xprweb","Simple"
"172.17.99.180","61558","IHLE\xprweb","Simple"
"172.17.99.180","61557","IHLE\xprweb","Simple"
"172.17.99.180","61551","IHLE\xprweb","Simple"
"172.17.99.180","61550","IHLE\xprweb","Simple"
"172.17.99.180","61549","IHLE\xprweb","Simple"
"172.17.99.180","61531","IHLE\xprweb","Simple"
"172.17.99.180","61530","IHLE\xprweb","Simple"
"172.17.99.180","61529","IHLE\xprweb","Simple"
"172.17.99.180","61515","IHLE\xprweb","Simple"
"172.17.99.180","61514","IHLE\xprweb","Simple"
"172.17.99.180","61513","IHLE\xprweb","Simple"
"172.17.99.180","61507","IHLE\xprweb","Simple"
"172.17.99.180","61506","IHLE\xprweb","Simple"
"172.17.99.180","61503","IHLE\xprweb","Simple"
