"IPAddress","Port","User","BindType"
"172.17.99.180","56196","IHLE\xprweb","Simple"
"172.17.99.180","56195","IHLE\xprweb","Simple"
"172.17.1.5","37832","IHLE\barracuda","Simple"
"172.17.99.180","56111","IHLE\xprweb","Simple"
"172.17.99.180","56110","IHLE\xprweb","Simple"
"172.17.99.180","56109","IHLE\xprweb","Simple"
"172.17.99.180","56108","IHLE\xprweb","Simple"
"172.17.99.180","55984","IHLE\xprweb","Simple"
"172.17.99.180","55983","IHLE\xprweb","Simple"
"172.17.99.180","55982","IHLE\xprweb","Simple"
"172.17.99.180","55981","IHLE\xprweb","Simple"
"172.17.99.180","55970","IHLE\xprweb","Simple"
"172.17.99.180","55969","IHLE\xprweb","Simple"
"172.17.99.180","55968","IHLE\xprweb","Simple"
"172.17.99.180","55967","IHLE\xprweb","Simple"
"172.17.99.180","55946","IHLE\xprweb","Simple"
"172.17.99.180","55945","IHLE\xprweb","Simple"
"172.17.99.180","55944","IHLE\xprweb","Simple"
"172.17.99.180","55943","IHLE\xprweb","Simple"
"172.17.99.180","55935","IHLE\xprweb","Simple"
"172.17.99.180","55934","IHLE\xprweb","Simple"
"172.17.99.180","55933","IHLE\xprweb","Simple"
"172.17.99.180","55932","IHLE\xprweb","Simple"
"172.17.99.180","55917","IHLE\xprweb","Simple"
"172.17.99.180","55916","IHLE\xprweb","Simple"
"172.17.99.180","55915","IHLE\xprweb","Simple"
"172.17.99.180","55914","IHLE\xprweb","Simple"
"172.17.99.180","55900","IHLE\xprweb","Simple"
"172.17.99.180","55899","IHLE\xprweb","Simple"
"172.17.99.180","55898","IHLE\xprweb","Simple"
"172.17.99.180","55897","IHLE\xprweb","Simple"
"172.17.99.180","55889","IHLE\xprweb","Simple"
"172.17.99.180","55888","IHLE\xprweb","Simple"
"172.17.99.180","55887","IHLE\xprweb","Simple"
"172.17.99.180","55886","IHLE\xprweb","Simple"
"172.17.99.180","55880","IHLE\xprweb","Simple"
"172.17.99.180","55879","IHLE\xprweb","Simple"
"172.17.99.180","55878","IHLE\xprweb","Simple"
"172.17.99.180","55877","IHLE\xprweb","Simple"
"172.17.99.180","55793","IHLE\xprweb","Simple"
"172.17.99.180","55792","IHLE\xprweb","Simple"
"172.17.99.180","55791","IHLE\xprweb","Simple"
"172.17.99.180","55790","IHLE\xprweb","Simple"
"172.17.99.180","55733","IHLE\xprweb","Simple"
"172.17.99.180","55732","IHLE\xprweb","Simple"
"172.17.99.180","55731","IHLE\xprweb","Simple"
"172.17.99.180","55730","IHLE\xprweb","Simple"
"172.17.1.5","60572","IHLE\barracuda","Simple"
"172.17.1.5","60573","IHLE\barracuda","Simple"
"172.17.99.180","55271","IHLE\xprweb","Simple"
"172.17.99.180","55269","IHLE\xprweb","Simple"
"172.17.99.180","55268","IHLE\xprweb","Simple"
"172.17.99.180","55267","IHLE\xprweb","Simple"
"172.17.99.180","55260","IHLE\xprweb","Simple"
"172.17.99.180","55259","IHLE\xprweb","Simple"
"172.17.99.180","55258","IHLE\xprweb","Simple"
"172.17.99.180","55257","IHLE\xprweb","Simple"
"172.17.99.180","55116","IHLE\xprweb","Simple"
"172.17.99.180","55114","IHLE\xprweb","Simple"
"172.17.99.180","55113","IHLE\xprweb","Simple"
"172.17.99.180","55112","IHLE\xprweb","Simple"
"172.17.99.180","55066","IHLE\xprweb","Simple"
"172.17.99.180","55065","IHLE\xprweb","Simple"
"172.17.99.180","55064","IHLE\xprweb","Simple"
"172.17.99.180","55063","IHLE\xprweb","Simple"
"172.17.99.180","55050","IHLE\xprweb","Simple"
"172.17.99.180","55049","IHLE\xprweb","Simple"
"172.17.99.180","55048","IHLE\xprweb","Simple"
"172.17.99.180","55047","IHLE\xprweb","Simple"
"172.17.99.180","54958","IHLE\xprweb","Simple"
"172.17.99.180","54957","IHLE\xprweb","Simple"
"172.17.99.180","54801","IHLE\xprweb","Simple"
"172.17.99.180","54800","IHLE\xprweb","Simple"
"172.17.99.180","54794","IHLE\xprweb","Simple"
"172.17.99.180","54793","IHLE\xprweb","Simple"
"172.17.99.180","54767","IHLE\xprweb","Simple"
"172.17.99.180","54766","IHLE\xprweb","Simple"
"172.17.99.180","54752","IHLE\xprweb","Simple"
"172.17.99.180","54751","IHLE\xprweb","Simple"
"172.17.1.5","45410","IHLE\barracuda","Simple"
"172.17.99.180","54616","IHLE\xprweb","Simple"
"172.17.99.180","54615","IHLE\xprweb","Simple"
"172.17.99.180","54599","IHLE\xprweb","Simple"
"172.17.99.180","54598","IHLE\xprweb","Simple"
"172.17.99.180","54590","IHLE\xprweb","Simple"
"172.17.99.180","54589","IHLE\xprweb","Simple"
"172.17.99.180","54578","IHLE\xprweb","Simple"
"172.17.99.180","54577","IHLE\xprweb","Simple"
"172.17.99.180","54566","IHLE\xprweb","Simple"
"172.17.99.180","54565","IHLE\xprweb","Simple"
"172.17.99.180","54549","IHLE\xprweb","Simple"
"172.17.99.180","54548","IHLE\xprweb","Simple"
"172.17.99.180","54539","IHLE\xprweb","Simple"
"172.17.99.180","54538","IHLE\xprweb","Simple"
"172.17.99.180","54527","IHLE\xprweb","Simple"
"172.17.99.180","54526","IHLE\xprweb","Simple"
"172.17.99.180","54518","IHLE\xprweb","Simple"
"172.17.99.180","54517","IHLE\xprweb","Simple"
"172.17.99.180","54508","IHLE\xprweb","Simple"
"172.17.99.180","54507","IHLE\xprweb","Simple"
"172.17.99.180","54502","IHLE\xprweb","Simple"
"172.17.99.180","54501","IHLE\xprweb","Simple"
"172.17.99.180","54484","IHLE\xprweb","Simple"
"172.17.99.180","54483","IHLE\xprweb","Simple"
"172.17.99.180","54479","IHLE\xprweb","Simple"
"172.17.99.180","54478","IHLE\xprweb","Simple"
"172.17.99.180","54470","IHLE\xprweb","Simple"
"172.17.99.180","54469","IHLE\xprweb","Simple"
"172.17.99.180","54457","IHLE\xprweb","Simple"
"172.17.99.180","54456","IHLE\xprweb","Simple"
"172.17.99.180","54452","IHLE\xprweb","Simple"
"172.17.99.180","54451","IHLE\xprweb","Simple"
"172.17.99.180","54440","IHLE\xprweb","Simple"
"172.17.99.180","54439","IHLE\xprweb","Simple"
"172.17.99.180","54422","IHLE\xprweb","Simple"
"172.17.99.180","54421","IHLE\xprweb","Simple"
"172.17.99.180","54411","IHLE\xprweb","Simple"
"172.17.99.180","54410","IHLE\xprweb","Simple"
"172.17.99.180","54333","IHLE\xprweb","Simple"
"172.17.99.180","54332","IHLE\xprweb","Simple"
"172.17.99.180","54150","IHLE\xprweb","Simple"
"172.17.99.180","54149","IHLE\xprweb","Simple"
"172.17.99.180","54148","IHLE\xprweb","Simple"
"172.17.99.180","54147","IHLE\xprweb","Simple"
"172.17.99.180","54048","IHLE\xprweb","Simple"
"172.17.99.180","54047","IHLE\xprweb","Simple"
"172.17.99.180","54046","IHLE\xprweb","Simple"
"172.17.99.180","54045","IHLE\xprweb","Simple"
"172.17.99.180","54042","IHLE\xprweb","Simple"
"172.17.99.180","54041","IHLE\xprweb","Simple"
"172.17.99.180","54040","IHLE\xprweb","Simple"
"172.17.99.180","54039","IHLE\xprweb","Simple"
"172.17.99.180","54019","IHLE\xprweb","Simple"
"172.17.99.180","54018","IHLE\xprweb","Simple"
"172.17.99.180","54017","IHLE\xprweb","Simple"
"172.17.99.180","54016","IHLE\xprweb","Simple"
"172.17.99.180","53997","IHLE\xprweb","Simple"
"172.17.99.180","53996","IHLE\xprweb","Simple"
"172.17.99.180","53995","IHLE\xprweb","Simple"
"172.17.99.180","53994","IHLE\xprweb","Simple"
"172.17.99.180","53987","IHLE\xprweb","Simple"
"172.17.99.180","53986","IHLE\xprweb","Simple"
"172.17.99.180","53985","IHLE\xprweb","Simple"
"172.17.99.180","53984","IHLE\xprweb","Simple"
"172.17.99.180","53975","IHLE\xprweb","Simple"
"172.17.99.180","53974","IHLE\xprweb","Simple"
"172.17.99.180","53973","IHLE\xprweb","Simple"
"172.17.99.180","53972","IHLE\xprweb","Simple"
"172.17.99.180","53955","IHLE\xprweb","Simple"
"172.17.99.180","53954","IHLE\xprweb","Simple"
"172.17.99.180","53953","IHLE\xprweb","Simple"
"172.17.99.180","53952","IHLE\xprweb","Simple"
"172.17.99.180","53942","IHLE\xprweb","Simple"
"172.17.99.180","53941","IHLE\xprweb","Simple"
"172.17.99.180","53940","IHLE\xprweb","Simple"
"172.17.99.180","53939","IHLE\xprweb","Simple"
"172.17.99.180","53920","IHLE\xprweb","Simple"
"172.17.99.180","53919","IHLE\xprweb","Simple"
"172.17.99.180","53918","IHLE\xprweb","Simple"
"172.17.99.180","53917","IHLE\xprweb","Simple"
"172.17.99.180","53898","IHLE\xprweb","Simple"
"172.17.99.180","53897","IHLE\xprweb","Simple"
"172.17.99.180","53885","IHLE\xprweb","Simple"
"172.17.99.180","53884","IHLE\xprweb","Simple"
"172.17.99.180","53879","IHLE\xprweb","Simple"
"172.17.99.180","53878","IHLE\xprweb","Simple"
"172.17.99.180","53865","IHLE\xprweb","Simple"
"172.17.99.180","53864","IHLE\xprweb","Simple"
"172.17.99.180","53847","IHLE\xprweb","Simple"
"172.17.99.180","53846","IHLE\xprweb","Simple"
"172.17.99.180","53828","IHLE\xprweb","Simple"
"172.17.99.180","53827","IHLE\xprweb","Simple"
"172.17.99.180","53815","IHLE\xprweb","Simple"
"172.17.99.180","53814","IHLE\xprweb","Simple"
"172.17.99.180","53797","IHLE\xprweb","Simple"
"172.17.99.180","53796","IHLE\xprweb","Simple"
"172.17.99.180","53788","IHLE\xprweb","Simple"
"172.17.99.180","53787","IHLE\xprweb","Simple"
"172.17.99.180","53780","IHLE\xprweb","Simple"
"172.17.99.180","53779","IHLE\xprweb","Simple"
"172.17.99.180","53749","IHLE\xprweb","Simple"
"172.17.99.180","53748","IHLE\xprweb","Simple"
"172.17.99.180","53739","IHLE\xprweb","Simple"
"172.17.99.180","53738","IHLE\xprweb","Simple"
"172.17.99.180","53733","IHLE\xprweb","Simple"
"172.17.99.180","53732","IHLE\xprweb","Simple"
"172.17.99.180","53727","IHLE\xprweb","Simple"
"172.17.99.180","53726","IHLE\xprweb","Simple"
"172.17.99.180","53715","IHLE\xprweb","Simple"
"172.17.99.180","53714","IHLE\xprweb","Simple"
"172.17.99.180","53695","IHLE\xprweb","Simple"
"172.17.99.180","53694","IHLE\xprweb","Simple"
"172.17.99.180","53677","IHLE\xprweb","Simple"
"172.17.99.180","53676","IHLE\xprweb","Simple"
"172.17.99.180","53671","IHLE\xprweb","Simple"
"172.17.99.180","53670","IHLE\xprweb","Simple"
"172.17.99.180","53640","IHLE\xprweb","Simple"
"172.17.99.180","53639","IHLE\xprweb","Simple"
"172.17.99.180","53621","IHLE\xprweb","Simple"
"172.17.99.180","53620","IHLE\xprweb","Simple"
"172.17.99.180","53595","IHLE\xprweb","Simple"
"172.17.99.180","53594","IHLE\xprweb","Simple"
"172.17.99.180","53580","IHLE\xprweb","Simple"
"172.17.99.180","53579","IHLE\xprweb","Simple"
"172.17.99.180","53546","IHLE\xprweb","Simple"
"172.17.99.180","53545","IHLE\xprweb","Simple"
"172.17.99.180","53517","IHLE\xprweb","Simple"
"172.17.99.180","53516","IHLE\xprweb","Simple"
"172.17.99.180","53493","IHLE\xprweb","Simple"
"172.17.99.180","53492","IHLE\xprweb","Simple"
"172.17.99.180","53469","IHLE\xprweb","Simple"
"172.17.99.180","53468","IHLE\xprweb","Simple"
"172.17.99.180","53459","IHLE\xprweb","Simple"
"172.17.99.180","53458","IHLE\xprweb","Simple"
"172.17.99.180","53420","IHLE\xprweb","Simple"
"172.17.99.180","53419","IHLE\xprweb","Simple"
"172.17.99.180","53407","IHLE\xprweb","Simple"
