"IPAddress","Port","User","BindType"
"172.17.99.180","53887","IHLE\xprweb","Simple"
"172.17.99.180","53886","IHLE\xprweb","Simple"
"172.17.99.180","53883","IHLE\xprweb","Simple"
"172.17.99.180","53881","IHLE\xprweb","Simple"
"172.17.99.180","53880","IHLE\xprweb","Simple"
"172.17.99.180","53876","IHLE\xprweb","Simple"
"172.17.99.180","53867","IHLE\xprweb","Simple"
"172.17.99.180","53866","IHLE\xprweb","Simple"
"172.17.99.180","53863","IHLE\xprweb","Simple"
"172.17.99.180","53849","IHLE\xprweb","Simple"
"172.17.99.180","53848","IHLE\xprweb","Simple"
"172.17.99.180","53845","IHLE\xprweb","Simple"
"172.17.99.180","53830","IHLE\xprweb","Simple"
"172.17.99.180","53829","IHLE\xprweb","Simple"
"172.17.99.180","53826","IHLE\xprweb","Simple"
"172.17.99.180","53817","IHLE\xprweb","Simple"
"172.17.99.180","53816","IHLE\xprweb","Simple"
"172.17.99.180","53813","IHLE\xprweb","Simple"
"172.17.99.180","53799","IHLE\xprweb","Simple"
"172.17.99.180","53798","IHLE\xprweb","Simple"
"172.17.99.180","53795","IHLE\xprweb","Simple"
"172.17.99.180","53790","IHLE\xprweb","Simple"
"172.17.99.180","53789","IHLE\xprweb","Simple"
"172.17.99.180","53786","IHLE\xprweb","Simple"
"172.17.99.180","53782","IHLE\xprweb","Simple"
"172.17.99.180","53781","IHLE\xprweb","Simple"
"172.17.99.180","53776","IHLE\xprweb","Simple"
"172.17.99.180","53751","IHLE\xprweb","Simple"
"172.17.99.180","53750","IHLE\xprweb","Simple"
"172.17.99.180","53747","IHLE\xprweb","Simple"
"172.17.99.180","53741","IHLE\xprweb","Simple"
"172.17.99.180","53740","IHLE\xprweb","Simple"
"172.17.99.180","53737","IHLE\xprweb","Simple"
"172.17.99.180","53735","IHLE\xprweb","Simple"
"172.17.99.180","53734","IHLE\xprweb","Simple"
"172.17.99.180","53731","IHLE\xprweb","Simple"
"172.17.99.180","53729","IHLE\xprweb","Simple"
"172.17.99.180","53728","IHLE\xprweb","Simple"
"172.17.99.180","53725","IHLE\xprweb","Simple"
"172.17.99.180","53717","IHLE\xprweb","Simple"
"172.17.99.180","53716","IHLE\xprweb","Simple"
"172.17.99.180","53713","IHLE\xprweb","Simple"
"172.17.99.180","53697","IHLE\xprweb","Simple"
"172.17.99.180","53696","IHLE\xprweb","Simple"
"172.17.99.180","53693","IHLE\xprweb","Simple"
"172.17.99.180","53679","IHLE\xprweb","Simple"
"172.17.99.180","53678","IHLE\xprweb","Simple"
"172.17.99.180","53675","IHLE\xprweb","Simple"
"172.17.99.180","53673","IHLE\xprweb","Simple"
"172.17.99.180","53672","IHLE\xprweb","Simple"
"172.17.99.180","53669","IHLE\xprweb","Simple"
"172.17.99.180","53642","IHLE\xprweb","Simple"
"172.17.99.180","53641","IHLE\xprweb","Simple"
"172.17.99.180","53638","IHLE\xprweb","Simple"
"172.17.99.180","53623","IHLE\xprweb","Simple"
"172.17.99.180","53622","IHLE\xprweb","Simple"
"172.17.99.180","53619","IHLE\xprweb","Simple"
"172.17.99.180","53597","IHLE\xprweb","Simple"
"172.17.99.180","53596","IHLE\xprweb","Simple"
"172.17.99.180","53593","IHLE\xprweb","Simple"
"172.17.99.180","53582","IHLE\xprweb","Simple"
"172.17.99.180","53581","IHLE\xprweb","Simple"
"172.17.99.180","53578","IHLE\xprweb","Simple"
"172.17.99.180","53548","IHLE\xprweb","Simple"
"172.17.99.180","53547","IHLE\xprweb","Simple"
"172.17.99.180","53544","IHLE\xprweb","Simple"
"172.17.99.180","53519","IHLE\xprweb","Simple"
"172.17.99.180","53518","IHLE\xprweb","Simple"
"172.17.99.180","53515","IHLE\xprweb","Simple"
"172.17.99.180","53495","IHLE\xprweb","Simple"
"172.17.99.180","53494","IHLE\xprweb","Simple"
"172.17.99.180","53491","IHLE\xprweb","Simple"
"172.17.99.180","53471","IHLE\xprweb","Simple"
"172.17.99.180","53470","IHLE\xprweb","Simple"
"172.17.99.180","53467","IHLE\xprweb","Simple"
"172.17.99.180","53461","IHLE\xprweb","Simple"
"172.17.99.180","53460","IHLE\xprweb","Simple"
"172.17.99.180","53457","IHLE\xprweb","Simple"
"172.17.99.180","53422","IHLE\xprweb","Simple"
"172.17.99.180","53421","IHLE\xprweb","Simple"
"172.17.99.180","53418","IHLE\xprweb","Simple"
"172.17.99.180","53409","IHLE\xprweb","Simple"
"172.17.99.180","53408","IHLE\xprweb","Simple"
"172.17.99.180","53405","IHLE\xprweb","Simple"
"172.17.99.180","53387","IHLE\xprweb","Simple"
"172.17.99.180","53386","IHLE\xprweb","Simple"
"172.17.99.180","53383","IHLE\xprweb","Simple"
"172.17.99.180","53369","IHLE\xprweb","Simple"
"172.17.99.180","53368","IHLE\xprweb","Simple"
"172.17.99.180","53365","IHLE\xprweb","Simple"
"172.17.99.180","53345","IHLE\xprweb","Simple"
"172.17.99.180","53344","IHLE\xprweb","Simple"
"172.17.99.180","53341","IHLE\xprweb","Simple"
"172.17.99.180","53332","IHLE\xprweb","Simple"
"172.17.99.180","53331","IHLE\xprweb","Simple"
"172.17.99.180","53328","IHLE\xprweb","Simple"
