"IPAddress","Port","User","BindType"
"172.17.91.1","49373","IHLE\compdata","Simple"
"172.17.91.1","49372","IHLE\compdata","Simple"
"172.17.91.1","49371","IHLE\compdata","Simple"
"172.17.91.1","49370","IHLE\compdata","Simple"
"172.17.91.1","49369","IHLE\compdata","Simple"
"172.17.91.1","49255","IHLE\compdata","Simple"
"172.17.91.1","49254","IHLE\compdata","Simple"
"172.17.91.1","49253","IHLE\compdata","Simple"
"172.17.91.1","49252","IHLE\compdata","Simple"
"172.17.91.1","49251","IHLE\compdata","Simple"
"172.17.91.1","49245","IHLE\compdata","Simple"
"172.17.91.1","49244","IHLE\compdata","Simple"
"172.17.91.1","49243","IHLE\compdata","Simple"
"172.17.91.1","49242","IHLE\compdata","Simple"
"172.17.91.1","49241","IHLE\compdata","Simple"
"172.17.91.1","65495","IHLE\compdata","Simple"
"172.17.91.1","65494","IHLE\compdata","Simple"
"172.17.91.1","65493","IHLE\compdata","Simple"
"172.17.91.1","65492","IHLE\compdata","Simple"
"172.17.91.1","65491","IHLE\compdata","Simple"
"172.17.91.1","65484","IHLE\compdata","Simple"
"172.17.91.1","65483","IHLE\compdata","Simple"
"172.17.91.1","65482","IHLE\compdata","Simple"
"172.17.91.1","65481","IHLE\compdata","Simple"
"172.17.91.1","65480","IHLE\compdata","Simple"
"172.17.91.1","65453","IHLE\compdata","Simple"
"172.17.91.1","65452","IHLE\compdata","Simple"
"172.17.91.1","65451","IHLE\compdata","Simple"
"172.17.91.1","65450","IHLE\compdata","Simple"
"172.17.91.1","65449","IHLE\compdata","Simple"
"172.17.91.1","65379","IHLE\compdata","Simple"
"172.17.91.1","65378","IHLE\compdata","Simple"
"172.17.91.1","65377","IHLE\compdata","Simple"
"172.17.91.1","65376","IHLE\compdata","Simple"
"172.17.91.1","65375","IHLE\compdata","Simple"
"172.17.91.1","65284","IHLE\compdata","Simple"
"172.17.91.1","65283","IHLE\compdata","Simple"
"172.17.91.1","65282","IHLE\compdata","Simple"
"172.17.91.1","65281","IHLE\compdata","Simple"
"172.17.91.1","65280","IHLE\compdata","Simple"
"172.17.91.1","65271","IHLE\compdata","Simple"
"172.17.91.1","65270","IHLE\compdata","Simple"
"172.17.91.1","65269","IHLE\compdata","Simple"
"172.17.91.1","65268","IHLE\compdata","Simple"
"172.17.91.1","65267","IHLE\compdata","Simple"
"172.17.91.1","65184","IHLE\compdata","Simple"
"172.17.91.1","65183","IHLE\compdata","Simple"
"172.17.91.1","65182","IHLE\compdata","Simple"
"172.17.91.1","65181","IHLE\compdata","Simple"
"172.17.91.1","65180","IHLE\compdata","Simple"
"172.17.91.1","65176","IHLE\compdata","Simple"
"172.17.91.1","65175","IHLE\compdata","Simple"
"172.17.91.1","65174","IHLE\compdata","Simple"
"172.17.91.1","65173","IHLE\compdata","Simple"
"172.17.91.1","65172","IHLE\compdata","Simple"
"172.17.91.1","65166","IHLE\compdata","Simple"
