"IPAddress","Port","User","BindType"
"172.17.1.5","42954","IHLE\barracuda","Simple"
"172.17.99.180","49673","IHLE\xprweb","Simple"
"172.17.99.180","49672","IHLE\xprweb","Simple"
"172.17.99.180","49644","IHLE\xprweb","Simple"
"172.17.99.180","49643","IHLE\xprweb","Simple"
"172.17.99.180","49633","IHLE\xprweb","Simple"
"172.17.99.180","49632","IHLE\xprweb","Simple"
"172.17.99.180","49621","IHLE\xprweb","Simple"
"172.17.99.180","49619","IHLE\xprweb","Simple"
"172.17.99.180","49611","IHLE\xprweb","Simple"
"172.17.99.180","49607","IHLE\xprweb","Simple"
"172.17.99.180","49548","IHLE\xprweb","Simple"
"172.17.99.180","49547","IHLE\xprweb","Simple"
"172.17.99.180","49431","IHLE\xprweb","Simple"
"172.17.99.180","49430","IHLE\xprweb","Simple"
"172.17.99.180","49422","IHLE\xprweb","Simple"
"172.17.99.180","49421","IHLE\xprweb","Simple"
"172.17.99.180","49410","IHLE\xprweb","Simple"
"172.17.99.180","49409","IHLE\xprweb","Simple"
"172.17.99.180","49381","IHLE\xprweb","Simple"
"172.17.99.180","49380","IHLE\xprweb","Simple"
"172.17.99.180","49372","IHLE\xprweb","Simple"
"172.17.99.180","49371","IHLE\xprweb","Simple"
"172.17.99.180","49357","IHLE\xprweb","Simple"
"172.17.99.180","49356","IHLE\xprweb","Simple"
"172.17.1.5","36787","IHLE\barracuda","Simple"
"172.17.99.180","49267","IHLE\xprweb","Simple"
"172.17.99.180","49266","IHLE\xprweb","Simple"
"172.17.99.180","49261","IHLE\xprweb","Simple"
"172.17.99.180","49260","IHLE\xprweb","Simple"
"172.17.99.180","49252","IHLE\xprweb","Simple"
"172.17.99.180","49251","IHLE\xprweb","Simple"
"172.17.99.180","49206","IHLE\xprweb","Simple"
"172.17.99.180","49205","IHLE\xprweb","Simple"
"172.17.99.180","49199","IHLE\xprweb","Simple"
"172.17.99.180","49198","IHLE\xprweb","Simple"
"172.17.99.180","49173","IHLE\xprweb","Simple"
"172.17.99.180","49172","IHLE\xprweb","Simple"
"172.17.99.180","49164","IHLE\xprweb","Simple"
"172.17.99.180","49163","IHLE\xprweb","Simple"
"172.17.99.180","49158","IHLE\xprweb","Simple"
"172.17.99.180","49157","IHLE\xprweb","Simple"
"172.17.99.180","65475","IHLE\xprweb","Simple"
"172.17.99.180","65474","IHLE\xprweb","Simple"
"172.17.99.180","65403","IHLE\xprweb","Simple"
"172.17.99.180","65402","IHLE\xprweb","Simple"
"172.17.99.180","65401","IHLE\xprweb","Simple"
"172.17.99.180","65400","IHLE\xprweb","Simple"
"172.17.99.180","65335","IHLE\xprweb","Simple"
"172.17.99.180","65334","IHLE\xprweb","Simple"
"172.17.99.180","65333","IHLE\xprweb","Simple"
"172.17.99.180","65332","IHLE\xprweb","Simple"
"172.17.99.180","65202","IHLE\xprweb","Simple"
"172.17.99.180","65201","IHLE\xprweb","Simple"
"172.17.99.180","65200","IHLE\xprweb","Simple"
"172.17.99.180","65199","IHLE\xprweb","Simple"
"172.17.99.180","65104","IHLE\xprweb","Simple"
"172.17.99.180","65103","IHLE\xprweb","Simple"
"172.17.99.180","65102","IHLE\xprweb","Simple"
"172.17.99.180","65101","IHLE\xprweb","Simple"
"172.17.99.180","63225","IHLE\xprweb","Simple"
"172.17.99.180","63224","IHLE\xprweb","Simple"
"172.17.99.180","63223","IHLE\xprweb","Simple"
"172.17.99.180","63222","IHLE\xprweb","Simple"
"172.17.99.180","62428","IHLE\xprweb","Simple"
"172.17.99.180","62427","IHLE\xprweb","Simple"
"172.17.99.180","62426","IHLE\xprweb","Simple"
"172.17.99.180","62425","IHLE\xprweb","Simple"
"172.17.99.180","62399","IHLE\xprweb","Simple"
"172.17.99.180","62398","IHLE\xprweb","Simple"
"172.17.99.180","62397","IHLE\xprweb","Simple"
"172.17.99.180","62396","IHLE\xprweb","Simple"
"172.17.99.180","62366","IHLE\xprweb","Simple"
"172.17.99.180","62365","IHLE\xprweb","Simple"
"172.17.99.180","62364","IHLE\xprweb","Simple"
"172.17.99.180","62363","IHLE\xprweb","Simple"
"172.17.99.180","62337","IHLE\xprweb","Simple"
"172.17.99.180","62336","IHLE\xprweb","Simple"
"172.17.99.180","62335","IHLE\xprweb","Simple"
"172.17.99.180","62334","IHLE\xprweb","Simple"
"172.17.99.180","62225","IHLE\xprweb","Simple"
"172.17.99.180","62224","IHLE\xprweb","Simple"
"172.17.99.180","62223","IHLE\xprweb","Simple"
"172.17.99.180","62222","IHLE\xprweb","Simple"
"172.17.99.180","62221","IHLE\xprweb","Simple"
"172.17.99.180","62220","IHLE\xprweb","Simple"
"172.17.99.180","62219","IHLE\xprweb","Simple"
"172.17.99.180","62218","IHLE\xprweb","Simple"
"172.17.99.180","62217","IHLE\xprweb","Simple"
"172.17.99.180","62216","IHLE\xprweb","Simple"
"172.17.99.180","62215","IHLE\xprweb","Simple"
"172.17.99.180","62214","IHLE\xprweb","Simple"
"172.17.99.180","62192","IHLE\xprweb","Simple"
"172.17.99.180","62191","IHLE\xprweb","Simple"
"172.17.99.180","62190","IHLE\xprweb","Simple"
"172.17.99.180","62189","IHLE\xprweb","Simple"
"172.17.1.5","59758","IHLE\barracuda","Simple"
"172.17.99.180","62161","IHLE\xprweb","Simple"
"172.17.99.180","62160","IHLE\xprweb","Simple"
"172.17.99.180","62159","IHLE\xprweb","Simple"
"172.17.99.180","62158","IHLE\xprweb","Simple"
"172.17.99.180","62153","IHLE\xprweb","Simple"
"172.17.99.180","62152","IHLE\xprweb","Simple"
"172.17.99.180","62151","IHLE\xprweb","Simple"
"172.17.99.180","62150","IHLE\xprweb","Simple"
"172.17.99.180","62115","IHLE\xprweb","Simple"
"172.17.99.180","62114","IHLE\xprweb","Simple"
"172.17.99.180","62113","IHLE\xprweb","Simple"
"172.17.99.180","62112","IHLE\xprweb","Simple"
"172.17.99.180","62062","IHLE\xprweb","Simple"
"172.17.99.180","62061","IHLE\xprweb","Simple"
"172.17.99.180","62060","IHLE\xprweb","Simple"
"172.17.99.180","62059","IHLE\xprweb","Simple"
"172.17.99.180","61783","IHLE\xprweb","Simple"
"172.17.99.180","61782","IHLE\xprweb","Simple"
"172.17.99.180","61773","IHLE\xprweb","Simple"
"172.17.99.180","61772","IHLE\xprweb","Simple"
"172.17.99.180","61696","IHLE\xprweb","Simple"
"172.17.99.180","61695","IHLE\xprweb","Simple"
"172.17.99.180","61667","IHLE\xprweb","Simple"
"172.17.99.180","61666","IHLE\xprweb","Simple"
"172.17.99.180","61658","IHLE\xprweb","Simple"
"172.17.99.180","61657","IHLE\xprweb","Simple"
"172.17.99.180","61639","IHLE\xprweb","Simple"
"172.17.99.180","61638","IHLE\xprweb","Simple"
"172.17.99.180","61627","IHLE\xprweb","Simple"
"172.17.99.180","61626","IHLE\xprweb","Simple"
"172.17.99.180","61618","IHLE\xprweb","Simple"
"172.17.99.180","61617","IHLE\xprweb","Simple"
"172.17.99.180","61608","IHLE\xprweb","Simple"
"172.17.99.180","61607","IHLE\xprweb","Simple"
"172.17.99.180","61599","IHLE\xprweb","Simple"
"172.17.99.180","61598","IHLE\xprweb","Simple"
"172.17.99.180","61581","IHLE\xprweb","Simple"
"172.17.99.180","61580","IHLE\xprweb","Simple"
"172.17.99.180","61571","IHLE\xprweb","Simple"
"172.17.99.180","61570","IHLE\xprweb","Simple"
"172.17.99.180","61561","IHLE\xprweb","Simple"
"172.17.99.180","61560","IHLE\xprweb","Simple"
"172.17.99.180","61553","IHLE\xprweb","Simple"
"172.17.99.180","61552","IHLE\xprweb","Simple"
"172.17.99.180","61533","IHLE\xprweb","Simple"
